"Group By WeekReport for roncordell"
 
 Time Period,Count,Distance,Time,Elevation Gain,Avg Speed,Avg HR,Avg Run Cadence,Avg Bike Cadence,Calories,
 02/04/2013,3,67.20,5:15:13,--,12.8,123,--,72,"5,962",
 01/21/2013,1,23.80,1:50:46,--,12.9,125,--,72,"2,483",
 01/14/2013,2,71.49,5:33:45,--,12.9,132,--,71,"6,611",
 12/31/2012,2,49.79,3:48:11,--,13.1,128,--,73,"5,054",
 12/24/2012,1,45.85,3:37:07,--,12.7,132,--,71,"4,572",
 12/10/2012,2,44.91,3:31:35,--,12.7,126,--,71,"4,072",
 12/03/2012,2,44.21,3:18:58,--,13.3,127,--,72,"4,230",
 11/26/2012,2,48.11,3:38:20,--,13.2,119,--,70,"4,926",
 11/19/2012,1,33.41,2:33:29,--,13.1,129,--,70,"2,866",
 11/12/2012,1,9.52,55:59,--,10.2,91,--,71,902,
 11/05/2012,3,54.57,4:33:10,--,12.0,113,--,69,"5,204",
 10/29/2012,3,71.56,5:26:17,--,13.2,112,--,72,"6,617",
 10/22/2012,1,24.18,1:49:11,--,13.3,95,--,75,"2,489",
 10/15/2012,4,113.86,8:03:57,--,14.1,79,--,74,"10,063",
 10/08/2012,3,69.71,10:20:39,--,6.7,104,--,73,"13,142",
 10/01/2012,3,73.00,5:47:19,--,12.6,112,--,72,"6,504",
 09/24/2012,3,72.44,5:29:32,--,13.2,117,--,73,"6,789",
 09/17/2012,3,83.18,5:59:12,--,13.9,114,--,73,"7,839",
 09/10/2012,3,71.10,5:13:04,--,13.6,113,--,74,"6,301",
 09/03/2012,2,50.37,3:45:44,--,13.4,119,--,74,"4,774",
 08/27/2012,3,67.99,5:16:52,--,12.9,117,--,70,"7,114",
 08/20/2012,2,45.11,3:32:07,--,12.8,117,--,69,"4,172",
 07/30/2012,1,19.90,1:34:21,--,12.7,117,--,70,"1,667",
 07/23/2012,2,42.05,3:22:03,--,12.5,114,--,68,"3,611",
